City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,82.56,83,100,6.67,overcast clouds
1,Ribeira Grande,PT,38.5167,-28.7,77.4,83,20,5.75,few clouds
2,Ostrovnoy,RU,68.0531,39.5131,59.63,60,100,11.52,overcast clouds
3,Bluff,NZ,-46.6,168.3333,34.66,83,7,4.76,clear sky
4,Nouakchott,MR,18.0858,-15.9785,85.93,75,15,14.23,few clouds
5,Busselton,AU,-33.65,115.3333,47.82,77,56,9.95,broken clouds
6,Hermanus,ZA,-34.4187,19.2345,62.8,73,92,11.48,overcast clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,87,75,9.22,broken clouds
8,Ancud,CL,-41.8697,-73.8203,45.23,81,100,4.38,overcast clouds
9,Putina,PE,-15.4667,-69.4333,44.67,52,25,4.25,scattered clouds
10,Madaoua,NE,14.073,5.96,88.12,45,100,8.34,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,35.26,75,0,4.61,clear sky
12,Ust-Shonosha,RU,61.1531,41.343,61.61,84,100,4.56,light rain
13,Yerbogachen,RU,61.2767,108.0108,51.46,83,47,2.15,scattered clouds
14,Hithadhoo,MV,-0.6,73.0833,82.33,68,71,3.53,broken clouds
15,Morro Bay,US,35.3658,-120.8499,63.48,84,32,3.51,scattered clouds
16,Tasiilaq,GL,65.6145,-37.6368,44.76,95,100,4.63,overcast clouds
17,Victoria,HK,22.2855,114.1577,79.32,94,100,11.01,light rain
18,Tingo Maria,PE,-9.2895,-76.0088,70.11,94,40,3.44,scattered clouds
19,Poronaysk,RU,49.2167,143.1167,59.7,78,3,6.58,clear sky
20,Jamestown,US,42.097,-79.2353,65.79,72,100,5.75,overcast clouds
21,Nome,US,64.5011,-165.4064,44.67,70,100,6.91,overcast clouds
22,Dikson,RU,73.5069,80.5464,42.94,94,100,24.72,light rain
23,Buchanan,LR,5.8808,-10.0467,78.8,76,100,10.31,light rain
24,Santiago Del Estero,AR,-27.7951,-64.2615,54.5,49,2,12.97,clear sky
25,Pombia,IT,45.653,8.6336,90.99,40,20,5.75,few clouds
26,Assiniboia,CA,49.6334,-105.9845,53.42,76,39,2.3,scattered clouds
27,Rikitea,PF,-23.1203,-134.9692,73.31,78,99,17.36,light rain
28,Norman Wells,CA,65.282,-126.8329,51.84,93,75,3.44,broken clouds
29,Ahipara,NZ,-35.1667,173.1667,53.53,79,100,5.55,overcast clouds
30,Upernavik,GL,72.7868,-56.1549,42.01,83,100,11.16,overcast clouds
31,Jalu,LY,29.0331,21.5482,98.98,20,0,13.27,clear sky
32,Kawalu,ID,-7.3817,108.2082,72.03,95,80,2.46,broken clouds
33,Yellowknife,CA,62.456,-114.3525,54.12,100,20,0.0,few clouds
34,Sarai Sidhu,PK,30.5949,71.9698,96.62,44,2,4.25,clear sky
35,Punta Arenas,CL,-53.15,-70.9167,33.82,100,20,4.34,few clouds
36,Mataura,NZ,-46.1927,168.8643,27.16,97,8,2.21,clear sky
37,Wajir,KE,1.7471,40.0573,87.76,33,75,10.36,broken clouds
38,Chokurdakh,RU,70.6333,147.9167,55.96,79,100,5.73,overcast clouds
39,Walvis Bay,NA,-22.9575,14.5053,65.35,55,0,8.05,clear sky
40,Leon Valley,US,29.4952,-98.6186,81.88,81,75,3.44,broken clouds
41,Huangchuan,CN,32.1272,115.0394,82.38,80,100,3.47,moderate rain
42,Fairbanks,US,64.8378,-147.7164,43.61,92,100,6.91,light rain
43,Marsabit,KE,2.3284,37.9899,77.0,36,100,18.84,overcast clouds
44,Faya,SA,18.3851,42.4509,75.31,73,98,9.57,heavy intensity rain
45,Bengkulu,ID,-3.8004,102.2655,77.04,89,99,6.82,overcast clouds
46,Abu Samrah,SY,35.3029,37.1841,91.11,26,0,21.52,clear sky
47,Almenara,BR,-16.1836,-40.6944,84.9,35,8,4.63,light rain
48,Hilo,US,19.7297,-155.09,79.29,93,100,4.61,light rain
49,Syracuse,IT,37.0881,15.2792,89.19,72,35,9.1,light rain
50,Biloela,AU,-24.4167,150.5,50.32,54,0,6.35,clear sky
51,Iqaluit,CA,63.7506,-68.5145,47.93,81,75,4.61,broken clouds
52,Port Macquarie,AU,-31.4333,152.9167,48.88,86,55,10.47,broken clouds
53,Port Alfred,ZA,-33.5906,26.891,67.17,80,0,5.01,clear sky
54,Laredo,US,27.5064,-99.5075,79.09,83,0,9.22,clear sky
55,Grindavik,IS,63.8424,-22.4338,53.55,100,100,19.57,light intensity drizzle
56,Qaanaaq,GL,77.484,-69.3632,37.2,62,0,2.24,clear sky
57,Yulara,AU,-25.2406,130.9889,69.58,37,100,16.98,overcast clouds
58,Butaritari,KI,3.0707,172.7902,81.9,75,11,16.11,few clouds
59,Codrington,AU,-38.2667,141.9667,40.95,87,90,10.69,overcast clouds
60,Mount Gambier,AU,-37.8333,140.7667,43.07,83,100,5.64,overcast clouds
61,Provideniya,RU,64.3833,-173.3,45.36,73,68,5.73,broken clouds
62,Atuona,PF,-9.8,-139.0333,76.32,77,7,17.38,clear sky
63,Poum,NC,-20.2333,164.0167,70.66,59,2,18.57,clear sky
64,Tuatapere,NZ,-46.1333,167.6833,31.26,87,5,2.15,clear sky
