City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
4,Nouakchott,MR,85.93,few clouds,18.0858,-15.9785,HOTEL IMAN
14,Hithadhoo,MV,82.33,broken clouds,-0.6,73.0833,Scoop Guest House
17,Victoria,HK,79.32,light rain,22.2855,114.1577,Mini Central
23,Buchanan,LR,78.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
37,Wajir,KE,87.76,broken clouds,1.7471,40.0573,Mahatallah Hotel
40,Leon Valley,US,81.88,broken clouds,29.4952,-98.6186,Days Inn by Wyndham San Antonio Northwest/Seaworld
41,Huangchuan,CN,82.38,moderate rain,32.1272,115.0394,Guangzhou International Hotel
43,Marsabit,KE,77.0,overcast clouds,2.3284,37.9899,Chicho Hotel
44,Faya,SA,75.31,heavy intensity rain,18.3851,42.4509,املاك خالد الشعشوع
45,Bengkulu,ID,77.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
47,Almenara,BR,84.9,light rain,-16.1836,-40.6944,Pousada Estância
48,Hilo,US,79.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
49,Syracuse,IT,89.19,light rain,37.0881,15.2792,Hotel Posta
54,Laredo,US,79.09,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
58,Butaritari,KI,81.9,few clouds,3.0707,172.7902,Isles Sunset Lodge
62,Atuona,PF,76.32,clear sky,-9.8,-139.0333,Villa Enata
67,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
74,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
76,Tineo,ES,75.06,clear sky,43.3376,-6.4145,Palacio de Meras Hotel y Restaurante
81,Ushtobe,KZ,83.86,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
82,Tambun,ID,82.04,scattered clouds,-6.2641,107.0712,Kost Putra Metland Tambun
84,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
87,Touros,BR,82.96,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
88,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
97,Shahada,IN,79.75,overcast clouds,21.55,74.4667,Patel Residency
99,Kupang,ID,77.11,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
100,Nisia Floresta,BR,84.58,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
101,Camopi,GF,86.92,overcast clouds,3.1655,-52.3158,La pousada
102,Okmulgee,US,75.06,overcast clouds,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
103,Adelanto,US,79.03,few clouds,34.5828,-117.4092,Days Inn Adelanto-Victorville
104,Mauldin,US,81.32,mist,34.7787,-82.3101,OYO Hotel Mauldin SC South Main Street
105,Bethel,US,88.47,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
107,Peterhead,GB,78.46,overcast clouds,57.5058,-1.7981,Palace Hotel
109,Celestun,MX,79.39,few clouds,20.8667,-90.4,Posada Lilia
113,Faanui,PF,76.19,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Meulaboh,ID,79.3,overcast clouds,4.1363,96.1285,Kost Pria
119,Sao Filipe,CV,79.95,overcast clouds,14.8961,-24.4956,Hotel Xaguate
120,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
125,Tezu,IN,82.36,scattered clouds,27.9167,96.1667,Circuit House
128,Masumbwe,TZ,88.09,scattered clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
132,Lorengau,PG,80.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
134,Vila Velha,BR,78.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
136,San Patricio,US,85.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Kamaishi,JP,78.62,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
139,Iracoubo,GF,85.53,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
140,Pachino,IT,83.37,light rain,36.7186,15.0907,Il Veliero
146,Alamogordo,US,75.78,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
147,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Base Lodging
151,Bandarbeyla,SO,81.77,overcast clouds,9.4942,50.8122,JABIR HOTEL
152,Lukulu,ZM,89.24,clear sky,-14.3707,23.242,Ruth Guest House
155,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
156,Broome,US,77.16,mist,42.2506,-75.833,Chenango Valley State Park
159,Ponta Do Sol,PT,79.43,scattered clouds,32.6667,-17.1,Hotel do Campo
160,Mahibadhoo,MV,81.9,overcast clouds,3.7833,72.9667,Omadhoo Inn
161,Banda Aceh,ID,80.33,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
162,Cockburn Town,TC,82.09,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
163,Penzance,GB,77.68,few clouds,50.1186,-5.5371,Artist Residence Penzance
165,Nicoya,CR,78.94,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
169,Port-Gentil,GA,82.36,few clouds,-0.7193,8.7815,Fengshui Residence
175,Dabakala,CI,81.77,overcast clouds,8.3667,-4.4333,Hotel Residence les villages de Dabakala
184,Arrecife,ES,82.38,few clouds,28.963,-13.5477,Hotel Lancelot
185,Mapiripan,CO,81.09,moderate rain,2.8892,-72.1256,Monserrate
189,Kilwinning,GB,75.38,few clouds,55.6533,-4.7067,Dalgarven House
193,Caravelas,BR,80.37,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
195,Morwa,IN,78.69,very heavy rain,22.9,73.8333,mahakali maa hotel
196,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
198,Huntsville,US,80.85,scattered clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
204,Kapaa,US,77.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
211,Wyszkow,PL,76.71,overcast clouds,52.5928,21.4584,PPUH Bias Sp. z. o. o.
213,Hasaki,JP,82.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
216,Inirida,CO,76.03,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
223,Puerto Cabezas,NI,75.16,light thunderstorm,14.0351,-83.3888,Cabaña Caribe
227,Kruisfontein,ZA,76.17,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
233,Nzega,RW,75.18,overcast clouds,-2.479,29.5564,Ubumwe Center Kigeme Ltd
237,Manoel Urbano,BR,85.6,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
242,Zhangye,CN,75.9,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
243,Nouadhibou,MR,85.98,clear sky,20.931,-17.0347,El Medina
244,Chadiza,ZM,82.53,clear sky,-14.0678,32.4392,Sankhani Guest House
248,Vaitape,PF,76.17,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
252,Killarney,IE,75.25,clear sky,52.05,-9.5167,Cahernane House Hotel - Killarney Hotel
253,Buala,SB,79.23,light rain,-8.145,159.5921,Maringe Lagoon Lodge
254,Morant Bay,JM,87.71,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
256,Pemangkat,ID,81.12,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
263,The Valley,AI,86.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
264,Honiara,SB,76.64,overcast clouds,-9.4333,159.95,Heritage Park Hotel
270,Kavieng,PG,80.83,broken clouds,-2.5744,150.7967,Nusa Island Retreat
271,Praia Da Vitoria,PT,75.76,broken clouds,38.7333,-27.0667,Hotel Branco I
278,Hamilton,US,80.67,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
281,Kibala,TD,89.55,few clouds,9.1104,18.3463,Prasant Hotels
282,Nantucket,US,84.09,clear sky,41.2835,-70.0995,Jared Coffin House
283,Miyazu,JP,76.33,overcast clouds,35.5333,135.1833,Seikiro
284,La Palma,US,80.1,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
285,Point Pedro,LK,80.96,overcast clouds,9.8167,80.2333,Gtr homes
296,Kuah,MY,82.38,few clouds,6.3265,99.8432,Azio Hotel
297,Estelle,US,84.99,broken clouds,29.8458,-90.1067,Ohio
299,La Reforma,MX,81.9,broken clouds,25.0833,-108.05,Hotel Reforma
300,Vorotynets,RU,79.16,overcast clouds,56.0603,45.8633,"Hotel ""553 km"""
302,Mabaruma,GY,83.71,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
306,Houma,US,84.99,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
