City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Urucara,BR,2022-08-07 20:50:41,-2.5364,-57.76,91.42,44,10,2.95
1,Port Elizabeth,ZA,2022-08-07 20:50:41,-33.918,25.5701,61.32,99,100,12.66
2,Kushiro,JP,2022-08-07 20:50:41,42.975,144.3747,68.0,99,100,9.51
3,Yellowknife,CA,2022-08-07 20:46:03,62.456,-114.3525,63.12,67,75,5.75
4,Albany,US,2022-08-07 20:50:42,42.6001,-73.9662,92.26,59,68,1.01
5,Grindavik,IS,2022-08-07 20:50:42,63.8424,-22.4338,52.27,87,40,16.11
6,Carnarvon,AU,2022-08-07 20:50:43,-24.8667,113.6333,62.08,77,0,11.7
7,Bredasdorp,ZA,2022-08-07 20:50:43,-34.5322,20.0403,53.42,95,13,5.01
8,Rikitea,PF,2022-08-07 20:50:43,-23.1203,-134.9692,72.48,67,100,32.46
9,Kapaa,US,2022-08-07 20:50:43,22.0752,-159.319,82.72,76,100,11.5
10,East London,ZA,2022-08-07 20:50:15,-33.0153,27.9116,66.92,87,100,23.2
11,Atuona,PF,2022-08-07 20:50:44,-9.8,-139.0333,76.91,70,93,17.83
12,Hilo,US,2022-08-07 20:50:44,19.7297,-155.09,88.29,73,100,5.99
13,Mataura,NZ,2022-08-07 20:50:45,-46.1927,168.8643,33.48,85,10,6.38
14,Egvekinot,RU,2022-08-07 20:50:10,66.3167,-179.1667,37.11,43,48,14.07
15,Luganville,VU,2022-08-07 20:50:45,-15.5333,167.1667,79.54,78,6,2.21
16,Mehamn,NO,2022-08-07 20:50:45,71.0357,27.8492,48.15,93,75,11.5
17,Bandarbeyla,SO,2022-08-07 20:50:46,9.4942,50.8122,75.61,80,8,32.84
18,Punta Arenas,CL,2022-08-07 20:50:46,-53.15,-70.9167,39.31,75,20,12.66
19,Ambon,ID,2022-08-07 20:50:46,-3.6954,128.1814,75.24,16,40,3.44
20,Hecun,CN,2022-08-07 20:50:47,36.5333,114.1111,81.14,88,92,3.71
21,Hermanus,ZA,2022-08-07 20:50:47,-34.4187,19.2345,50.81,84,71,2.82
22,Aden,YE,2022-08-07 20:50:05,12.7794,45.0367,85.6,75,85,15.03
23,Itarema,BR,2022-08-07 20:50:47,-2.9248,-39.9167,78.53,80,55,18.45
24,Weligama,LK,2022-08-07 20:50:48,5.9667,80.4167,77.4,86,100,12.08
25,Hobart,AU,2022-08-07 20:48:05,-42.8794,147.3294,35.26,95,20,4.61
26,Ushuaia,AR,2022-08-07 20:48:52,-54.8,-68.3,40.66,56,0,5.75
27,Provideniya,RU,2022-08-07 20:50:48,64.3833,-173.3,44.71,81,100,15.99
28,Hamilton,US,2022-08-07 20:50:48,39.1834,-84.5333,90.37,69,75,9.22
29,Bitung,ID,2022-08-07 20:49:25,1.4451,125.1824,74.25,83,100,3.11
30,Tarakan,ID,2022-08-07 20:50:49,3.3,117.6333,78.46,78,100,5.17
31,Port Alfred,ZA,2022-08-07 20:50:49,-33.5906,26.891,61.18,97,100,4.0
32,Kedougou,SN,2022-08-07 20:50:50,12.5579,-12.1743,76.6,94,100,2.15
33,Poum,NC,2022-08-07 20:50:50,-20.2333,164.0167,74.62,83,0,11.65
34,Dondukovskaya,RU,2022-08-07 20:50:50,44.8819,40.3627,68.18,68,0,7.63
35,Kununurra,AU,2022-08-07 20:50:51,-15.7667,128.7333,67.98,77,75,3.44
36,Portland,US,2022-08-07 20:46:59,45.5234,-122.6762,99.86,30,0,5.01
37,Dunedin,NZ,2022-08-07 20:50:51,-45.8742,170.5036,41.81,51,86,5.99
38,Cabo San Lucas,MX,2022-08-07 20:50:52,22.8909,-109.9124,91.18,69,98,1.99
39,Alta Floresta,BR,2022-08-07 20:50:52,-9.8756,-56.0861,87.62,58,40,4.61
40,Tuatapere,NZ,2022-08-07 20:50:52,-46.1333,167.6833,35.55,83,31,9.55
41,Akdepe,TM,2022-08-07 20:50:52,42.0551,59.3788,75.29,38,4,8.95
42,Booue,GA,2022-08-07 20:50:53,-0.0921,11.9385,78.04,63,58,2.84
43,Grosseto,IT,2022-08-07 20:50:53,42.8333,11.25,80.29,69,0,4.61
44,Kuremaa,EE,2022-08-07 20:51:54,58.7353,26.5383,59.76,86,85,4.32
45,Thompson,CA,2022-08-07 20:48:47,55.7435,-97.8558,75.36,38,75,19.57
46,Faanui,PF,2022-08-07 20:51:54,-16.4833,-151.75,76.98,71,78,25.03
47,Bandiagara,ML,2022-08-07 20:51:54,14.3501,-3.6104,81.73,57,54,12.21
48,Tasiilaq,GL,2022-08-07 20:51:55,65.6145,-37.6368,41.22,95,100,7.78
49,Kodiak,US,2022-08-07 20:51:55,57.79,-152.4072,60.31,51,0,4.61
50,Vila,PT,2022-08-07 20:51:55,42.0304,-8.1588,66.7,75,3,1.72
51,Nadym,RU,2022-08-07 20:50:07,65.5333,72.5167,69.84,63,73,12.59
52,Esna,EG,2022-08-07 20:51:56,25.2934,32.554,91.42,20,14,15.39
53,Chinsali,ZM,2022-08-07 20:51:56,-10.5414,32.0816,56.53,55,0,5.41
54,Bud,US,2022-08-07 20:51:56,39.447,-86.1758,92.93,65,25,8.14
55,Kahului,US,2022-08-07 20:51:56,20.8947,-156.47,87.82,45,20,14.0
56,Vaini,TO,2022-08-07 20:51:57,-21.2,-175.2,77.16,88,20,6.91
57,Taloqan,AF,2022-08-07 20:51:57,36.7361,69.5345,76.35,24,0,4.85
58,Palmerston,AU,2022-08-07 20:51:58,-12.486,130.9833,75.18,89,0,0.0
59,Chokurdakh,RU,2022-08-07 20:51:58,70.6333,147.9167,47.93,51,100,13.87
60,Yenagoa,NG,2022-08-07 20:51:58,4.9247,6.2642,75.02,89,57,4.47
61,Arraial Do Cabo,BR,2022-08-07 20:51:59,-22.9661,-42.0278,73.36,83,100,9.22
62,Odienne,CI,2022-08-07 20:51:59,9.51,-7.5692,72.09,91,38,1.88
63,Kenai,US,2022-08-07 20:48:44,60.5544,-151.2583,60.89,67,0,17.27
64,Lorengau,PG,2022-08-07 20:51:59,-2.0226,147.2712,81.12,76,93,7.81
65,Lagoa,PT,2022-08-07 20:49:02,39.05,-27.9833,73.56,83,15,18.16
66,Alofi,NU,2022-08-07 20:49:58,-19.0595,-169.9187,78.69,73,40,11.5
67,Namie,JP,2022-08-07 20:52:00,37.4833,141.0,78.71,95,44,1.54
68,College,US,2022-08-07 20:52:00,64.8569,-147.8028,56.07,74,75,8.05
69,Cherskiy,RU,2022-08-07 20:52:00,68.75,161.3,41.88,65,93,2.46
70,Gramoteino,RU,2022-08-07 20:52:01,54.5368,86.3839,55.99,81,31,1.54
71,Edson,CA,2022-08-07 20:47:15,53.5835,-116.4356,78.94,31,20,8.05
72,Santa Helena,BR,2022-08-07 20:52:01,-2.2311,-45.3,80.55,69,24,4.72
73,Palmer,US,2022-08-07 20:52:01,42.1584,-72.3287,93.61,53,75,17.27
74,Idritsa,RU,2022-08-07 20:52:02,56.3316,28.8988,55.17,71,48,2.39
75,Victoria,HK,2022-08-07 20:52:02,22.2855,114.1577,84.38,88,97,8.99
76,Kingman,US,2022-08-07 20:52:03,35.1894,-114.053,98.26,17,25,4.0
77,Port Hardy,CA,2022-08-07 20:52:03,50.6996,-127.4199,62.6,88,40,2.3
78,Chicama,PE,2022-08-07 20:52:04,-7.8447,-79.1469,61.34,64,43,9.66
79,Jamestown,US,2022-08-07 20:50:42,42.097,-79.2353,87.19,48,0,10.36
80,Vestmanna,FO,2022-08-07 20:47:49,62.1564,-7.1664,52.72,94,100,12.66
81,Kaitangata,NZ,2022-08-07 20:52:04,-46.2817,169.8464,38.57,66,94,10.51
82,Arlit,NE,2022-08-07 20:52:05,18.7369,7.3853,102.13,17,100,7.27
83,Butaritari,KI,2022-08-07 20:52:05,3.0707,172.7902,82.15,71,100,15.93
84,Sobolevo,RU,2022-08-07 20:52:06,54.4299,31.8996,53.24,95,4,6.46
85,Ribeira Grande,PT,2022-08-07 20:52:06,38.5167,-28.7,73.8,94,75,11.5
86,Tawang,IN,2022-08-07 20:52:06,27.5833,91.8667,55.51,91,42,5.19
87,Nanortalik,GL,2022-08-07 20:52:07,60.1432,-45.2371,45.25,81,6,9.24
88,Sekoma,BW,2022-08-07 20:52:07,-24.4,23.8833,66.65,26,6,5.53
89,Kulhudhuffushi,MV,2022-08-07 20:52:08,6.6221,73.07,80.1,83,100,18.28
90,Bethel,US,2022-08-07 20:50:56,41.3712,-73.414,92.35,63,0,18.41
91,Dikson,RU,2022-08-07 20:53:08,73.5069,80.5464,42.1,100,100,9.44
92,Taree,AU,2022-08-07 20:53:08,-31.9,152.4667,50.11,84,65,7.52
93,Damara,CF,2022-08-07 20:53:09,4.9608,18.7035,68.88,98,100,1.25
94,Lebu,CL,2022-08-07 20:53:09,-37.6167,-73.65,47.1,85,100,9.51
95,Jackson,US,2022-08-07 20:53:09,42.4165,-122.8345,98.02,25,0,3.0
96,Hvide Sande,DK,2022-08-07 20:53:10,56.0045,8.1294,57.09,82,23,9.44
97,Hami,CN,2022-08-07 20:53:10,42.8,93.45,84.04,24,39,11.59
98,Moranbah,AU,2022-08-07 20:53:10,-22.0016,148.0466,51.96,50,0,11.54
99,Tornio,FI,2022-08-07 20:53:11,65.8481,24.1466,53.62,75,65,7.78
100,Asau,RO,2022-08-07 20:53:11,46.4333,26.4,63.52,91,0,4.36
101,Middletown,US,2022-08-07 20:53:11,39.5151,-84.3983,90.81,65,40,48.0
102,Namatanai,PG,2022-08-07 20:53:11,-3.6667,152.4333,78.76,81,95,6.44
103,Pisco,PE,2022-08-07 20:53:12,-13.7,-76.2167,66.25,68,20,13.8
104,Saint-Philippe,RE,2022-08-07 20:53:12,-21.3585,55.7679,67.59,81,21,4.43
105,Sitka,US,2022-08-07 20:53:12,57.0531,-135.33,57.09,82,100,8.05
106,Avarua,CK,2022-08-07 20:53:13,-21.2078,-159.775,75.25,57,40,20.71
107,Leshukonskoye,RU,2022-08-07 20:51:04,64.8989,45.7622,59.58,86,100,3.8
108,Khatanga,RU,2022-08-07 20:53:13,71.9667,102.5,51.22,81,64,7.25
109,Cape Town,ZA,2022-08-07 20:50:48,-33.9258,18.4232,56.88,86,20,8.05
110,Grand Gaube,MU,2022-08-07 20:50:05,-20.0064,57.6608,66.6,78,8,3.0
111,Airai,TL,2022-08-07 20:53:14,-8.9266,125.4092,57.34,58,9,2.95
